"menu_name";"menu_descr";"menu_calories";"meal";"meal_starts_at";"item_name";"quantity";"serving_name";"calories";"protein";"fat";"carbohydrate";"sugars";"cholesterol";"fiber";"calcium";"sodium";"saturated_fat"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Brown rice, long-grain, cooked";"3.0000";"serving, 1/2 cup (3.4 oz)";"325";"8";"3";"67";"1";"0";"5";"29";"15";"1"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Del Monte: Vegetables, Canned: Fresh Cut, Green Beans Cut, drained";"1.0000";"serving, 1/2 cup (4.3 oz)";"20";"1";"0";"4";"2";"0";"2";"20";"390";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"4.0000";"oz";"234";"25";"14";"0";"0";"71";"0";"17";"69";"3"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Pineapple, fresh";"1.0000";"cup, diced (5.5 oz)";"74";"1";"0";"20";"14";"0";"2";"20";"2";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2000";"Dinner";"19:00:00";"Skim Milk";"1.0000";"cup (8.6 oz)";"91";"9";"1";"12";"12";"5";"0";"316";"130";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Breakfast";"07:00:00";"Peanut Butter, Creamy";"1.0000";"serving, 2 tablespoons (1.1 oz)";"210";"8";"16";"6";"1";"0";"2";"0";"120";"3"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Breakfast";"07:00:00";"Banana";"1.0000";"medium, 7" to 7-7/8" long (4.2 oz)";"105";"1";"0";"27";"14";"0";"3";"6";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Breakfast";"07:00:00";"100% Whole Wheat Bagel, Heart Healthy (Sara Lee)";"1.0000";"bagel (3.3 oz)";"220";"11";"2";"47";"9";"0";"6";"100";"480";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Lunch";"13:00:00";"Crackers: Harvest Whole Wheat (Back to Nature)";"2.0000";"serving, 6 crackers (1.0 oz)";"240";"6";"9";"38";"0";"0";"6";"0";"360";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Lunch";"13:00:00";"Trader Joe's: Soups: Chunky Minestrone, Low-Fat";"2.0000";"cup (8.8 oz)";"220";"6";"5";"38";"2";"0";"4";"40";"1780";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Lunch";"13:00:00";"Plums, average all varieties";"2.0000";"fruit, 2-1/8" dia (2.3 oz)";"61";"1";"0";"15";"13";"0";"2";"8";"0";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Lunch";"13:00:00";"Soymilk, Chocolate (SIlk)";"1.0000";"cup (8.0 fl.oz)";"138";"5";"3";"23";"19";"0";"2";"296";"99";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Afternoon Snack";"17:00:00";"Apple";"1.0000";"small, 2-1/2" dia, approx 4 per lb (3.7 oz)";"55";"0";"0";"15";"11";"0";"3";"6";"1";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Afternoon Snack";"17:00:00";"Walnuts";"1.0000";"serving, 7 nuts (1.0 oz)";"183";"4";"18";"4";"1";"0";"2";"27";"1";"2"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Dinner";"19:00:00";"Green Beans, steamed/boiled";"1.0000";"cup (3.9 oz)";"34";"2";"0";"8";"2";"0";"4";"41";"7";"0"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Dinner";"19:00:00";"Salmon, Atlantic, cooked";"5.0000";"oz";"292";"31";"18";"0";"0";"89";"0";"21";"86";"4"
"Heart Healthy";"Based on heart healthy diet emphasizing healthy fats, fish, whole grains, fruits and vegetables.";"2250";"Dinner";"19:00:00";"Olive oil";"1.0000";"tablespoon (0.5 oz)";"119";"0";"14";"0";"0";"0";"0";"0";"0";"2"
